cell_id	donor_id	cytotoxicity	treg_activation	central_memory	scaled_age	sex	scaled_log_nUMI	percent_mito	gPC1	gPC2	gPC3	gPC4	gPC5	ePC1	ePC2	ePC3	ePC4	ePC5
cell_002124	donor_156	-0.882972	0.414423	0.218939	-0.327441	F	1.862507	0.04446	0.008086	-0.017299	0.026872	0.038499	-0.012557	0.621085	-0.676596	1.271577	0.814688	-0.445134
cell_002125	donor_156	1.065279	0.752802	1.071903	-0.327441	F	2.107145	0.01893	0.008086	-0.017299	0.026872	0.038499	-0.012557	-0.128198	0.600669	1.074703	-1.518668	0.07045
cell_002126	donor_156	0.608396	0.209679	1.099352	-0.327441	F	1.605216	0.029	0.008086	-0.017299	0.026872	0.038499	-0.012557	-0.031125	-0.570634	-0.575801	1.054376	0.534678
cell_002127	donor_156	0.919413	0.376095	1.271072	-0.327441	F	2.154879	0.03552	0.008086	-0.017299	0.026872	0.038499	-0.012557	2.106635	-0.569793	0.137134	0.3097	0.896084
cell_002128	donor_156	-2.345788	-0.290463	-0.305790	-0.327441	F	1.530052	0.03849	0.008086	-0.017299	0.026872	0.038499	-0.012557	1.358413	0.093612	-1.094775	-0.710878	0.142728
cell_002129	donor_156	1.152683	1.571395	-1.450179	-0.327441	F	1.856285	0.06305	0.008086	-0.017299	0.026872	0.038499	-0.012557	1.122762	-1.446406	-1.170003	0.757153	-1.293627
cell_002130	donor_157	1.411167	-1.171445	-1.141215	-0.930777	F	1.742843	0.02944	0.029746	-0.047643	0.021522	-0.017155	0.019521	-1.125023	1.136537	-0.221322	-0.297812	1.368294
cell_002131	donor_157	-0.234286	-0.318206	-1.558417	-0.930777	F	0.697053	0.05337	0.029746	-0.047643	0.021522	-0.017155	0.019521	-1.062977	-1.263985	1.629213	0.233322	0.679705
cell_002132	donor_157	0.649878	0.679402	1.054042	-0.930777	F	1.861293	0.0068	0.029746	-0.047643	0.021522	-0.017155	0.019521	-0.311084	-0.106598	-0.703766	0.31812	0.831373
cell_002133	donor_157	-0.433455	-0.039583	-0.030427	-0.930777	F	1.640453	0.01725	0.029746	-0.047643	0.021522	-0.017155	0.019521	0.195982	1.060907	0.662396	-1.048442	-0.144744
cell_002134	donor_157	1.687995	-2.834245	-0.956944	-0.930777	F	1.915844	0.01272	0.029746	-0.047643	0.021522	-0.017155	0.019521	-0.448395	0.753434	0.461587	0.127383	1.013589
cell_002135	donor_157	0.005541	-1.085570	-0.258320	-0.930777	F	2.000689	0.03303	0.029746	-0.047643	0.021522	-0.017155	0.019521	-1.86568	-0.60313	-0.518287	0.251734	0.55281
cell_002136	donor_157	-0.126076	-0.657686	0.064469	-0.930777	F	2.707173	0.04295	0.029746	-0.047643	0.021522	-0.017155	0.019521	-0.001308	-1.31496	0.406772	0.128062	-1.468714
cell_002137	donor_157	0.628149	-0.236266	-0.453195	-0.930777	F	2.121884	0.02111	0.029746	-0.047643	0.021522	-0.017155	0.019521	-0.295402	0.374025	1.653209	-1.089071	0.79012
cell_002138	donor_157	-0.165765	-0.007436	-1.740320	-0.930777	F	2.133645	0.03377	0.029746	-0.047643	0.021522	-0.017155	0.019521	-1.076474	-1.270608	-1.211591	0.605014	0.129893
cell_002139	donor_157	0.461554	-0.451001	1.261535	-0.930777	F	2.198246	0.04208	0.029746	-0.047643	0.021522	-0.017155	0.019521	-0.314689	0.457832	0.040821	0.110519	-0.303526
cell_002140	donor_157	0.591053	1.170066	-1.011004	-0.930777	F	2.348723	0.04094	0.029746	-0.047643	0.021522	-0.017155	0.019521	-1.027547	1.691307	1.400432	1.590159	-0.539315
cell_002141	donor_158	-0.371387	-1.242458	-0.705191	-0.610051	M	2.181712	0.00608	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-0.681928	-0.414445	1.074107	-0.000192	-0.543192
cell_002142	donor_158	1.252105	1.487491	-1.148133	-0.610051	M	2.112685	0.04546	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.363862	-0.736449	-1.355391	0.129235	-0.516073
cell_002143	donor_158	-0.458278	-0.076196	0.585606	-0.610051	M	2.284499	0.03019	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-0.0137	-2.68486	-0.892078	-0.045057	-1.516391
cell_002144	donor_158	-1.759810	-1.603000	0.489626	-0.610051	M	1.029346	0.04182	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-1.482389	0.038769	0.701582	-0.891716	-0.262127
cell_002145	donor_158	-1.949039	-0.446797	0.162092	-0.610051	M	2.835621	0.02748	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-0.239023	-1.562314	1.183886	-0.182957	-0.17224
cell_002146	donor_158	0.415666	-0.141718	-0.365757	-0.610051	M	2.635892	0.03762	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.372983	-1.559995	0.919934	1.050611	0.140532
cell_002147	donor_158	0.844571	0.285206	-0.647017	-0.610051	M	2.086854	0.05218	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.462208	-0.326079	0.863294	-0.82294	-0.032398
cell_002148	donor_158	0.037723	0.383169	1.718237	-0.610051	M	1.434797	0.02592	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.027263	-0.038684	1.069126	2.188205	-0.109837
cell_002149	donor_158	0.786324	1.214557	-0.610607	-0.610051	M	2.48414	0.03568	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.470358	-0.802427	1.031921	-0.517485	3.145128
cell_002150	donor_158	-0.524183	-0.235380	-0.143573	-0.610051	M	1.722449	0.055	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-1.67074	2.147445	0.991222	-1.122242	2.319448
cell_002151	donor_158	-1.008025	1.265934	0.883352	-0.610051	M	2.213536	0.02734	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-0.92841	-0.314331	-1.296593	-0.146452	-0.052697
cell_002152	donor_158	-0.305678	0.641711	0.222899	-0.610051	M	1.486838	0.00749	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.830031	2.438314	-0.512961	-2.75263	0.648498
cell_002153	donor_158	0.719828	-1.344307	-0.145661	-0.610051	M	2.890563	0.04352	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	-0.550311	1.818453	-0.034585	-0.759091	-1.012969
cell_002154	donor_158	-0.058039	0.623642	-0.628438	-0.610051	M	1.423113	0.0587	-0.019226	-0.00137	-0.016202	-0.004278	0.036598	0.622887	-0.275237	1.467707	-0.210589	1.41462
cell_002155	donor_159	-2.499931	-1.081700	-0.061048	1.408948	M	2.027594	0.05578	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-1.380134	-1.73862	0.829188	-0.464426	-0.263551
cell_002156	donor_159	0.063884	1.683748	0.582746	1.408948	M	1.151125	0.0443	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-1.012194	-1.085501	0.635667	-0.018847	-1.060201
cell_002157	donor_159	0.081530	-0.032391	1.104183	1.408948	M	1.983511	0.01688	-0.002159	0.042206	-0.007716	0.029835	-0.032514	0.790544	1.174913	-0.108832	1.0032	-1.001805
cell_002158	donor_159	-0.590110	-0.140284	-1.089258	1.408948	M	1.829886	0.01728	-0.002159	0.042206	-0.007716	0.029835	-0.032514	0.577209	0.16175	-0.791561	2.053059	0.232775
cell_002159	donor_159	1.418906	0.392499	-0.707523	1.408948	M	2.454873	0.01831	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-0.59082	0.019624	-0.869694	-1.156878	-0.44942
cell_002160	donor_159	-0.114455	0.509651	-0.250719	1.408948	M	1.829848	0.0309	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-0.381712	-0.804174	1.251113	-0.765777	-0.932229
cell_002161	donor_159	-0.534471	-0.654274	0.338962	1.408948	M	2.455449	0.06377	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-1.18572	-1.281983	1.027452	0.258167	0.690328
cell_002162	donor_159	-0.358054	-0.453758	-1.336062	1.408948	M	1.590352	0.00839	-0.002159	0.042206	-0.007716	0.029835	-0.032514	1.018405	-0.3333	1.47224	-0.62689	-1.095726
cell_002163	donor_159	0.077641	-0.181223	-0.321648	1.408948	M	1.887215	0.07484	-0.002159	0.042206	-0.007716	0.029835	-0.032514	0.373617	0.144548	0.14296	1.015321	0.106211
cell_002164	donor_159	0.198771	0.748002	0.701565	1.408948	M	1.895235	0.02235	-0.002159	0.042206	-0.007716	0.029835	-0.032514	0.313052	1.359603	0.266681	0.494259	-1.417714
cell_002165	donor_159	0.552729	-0.240670	-0.566998	1.408948	M	2.198235	0.01466	-0.002159	0.042206	-0.007716	0.029835	-0.032514	3.719151	-1.590842	-0.539329	-0.569567	2.108016
cell_002166	donor_159	-1.043916	-0.593157	0.019650	1.408948	M	2.14735	0.0469	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-0.600599	0.441879	-0.562766	-1.040097	0.570355
cell_002167	donor_159	-0.786286	0.096057	-0.965457	1.408948	M	2.28889	0.04849	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-0.718966	0.20759	0.626693	1.906755	-1.262175
cell_002168	donor_159	-1.660992	0.819406	-0.474415	1.408948	M	2.106732	0.043	-0.002159	0.042206	-0.007716	0.029835	-0.032514	-0.152815	-0.111469	0.000928	2.568801	-0.173333
cell_002169	donor_160	-0.837034	-1.093847	0.423036	-1.139777	M	2.264526	0.01461	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-2.52059	-0.198431	-0.118377	-0.241042	-0.718644
cell_002170	donor_160	1.374908	-0.403074	-0.215563	-1.139777	M	1.640854	0.04004	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-1.321302	2.159491	0.318293	-0.19224	2.127626
cell_002171	donor_160	1.071632	-1.810446	1.966869	-1.139777	M	2.155519	0.00933	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-0.868658	0.602408	-1.249061	0.750758	-1.134495
cell_002172	donor_160	2.444100	-2.706338	-0.097503	-1.139777	M	2.643282	0.01406	-0.00573	-0.010722	0.030754	0.003705	-0.041762	0.470463	1.953236	0.09345	-2.192581	0.035771
cell_002173	donor_160	-0.718947	-0.264772	-0.418385	-1.139777	M	1.328003	0.0281	-0.00573	-0.010722	0.030754	0.003705	-0.041762	0.480452	0.900984	1.473591	1.524571	-0.13094
cell_002174	donor_160	0.811759	-0.112570	-0.910907	-1.139777	M	2.195603	0.0136	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-0.659439	-1.118511	-0.53995	0.476531	-1.348648
cell_002175	donor_160	-0.172185	0.514784	-1.183721	-1.139777	M	2.270712	0.05105	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-0.92686	0.562299	-0.646487	0.369986	-0.81431
cell_002176	donor_160	-1.646234	1.992743	-0.642427	-1.139777	M	2.584475	0.01844	-0.00573	-0.010722	0.030754	0.003705	-0.041762	0.287798	-0.771877	-1.901976	0.955957	-0.695894
cell_002177	donor_160	-0.137353	-0.397795	0.548088	-1.139777	M	2.290419	0.02559	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-0.24863	-0.691142	0.544478	0.333169	0.542093
cell_002178	donor_160	1.772790	0.579934	-1.518365	-1.139777	M	2.040126	0.0124	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-0.549543	-0.049728	0.417032	1.545204	0.306531
cell_002179	donor_160	-1.384123	-0.398965	-0.268233	-1.139777	M	2.172029	0.05075	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-1.00335	0.267894	-0.164998	-1.998734	-1.845157
cell_002180	donor_160	-1.721951	0.819341	-1.086321	-1.139777	M	1.705985	0.01668	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-0.06649	0.017799	-0.29475	0.884182	-0.935146
cell_002181	donor_160	1.493302	1.820633	-0.248254	-1.139777	M	1.844813	0.05284	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-1.386195	-0.825692	-0.609776	-0.058153	-0.79764
cell_002182	donor_160	0.438973	-1.231947	0.623676	-1.139777	M	1.465719	0.05137	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-2.141726	-2.569305	0.123159	-1.129022	-2.005355
cell_002183	donor_160	-0.498192	-1.087235	-0.289335	-1.139777	M	2.594812	0.02108	-0.00573	-0.010722	0.030754	0.003705	-0.041762	0.624941	1.545181	-0.094459	0.26844	0.276916
cell_002184	donor_160	-0.465748	-0.325159	0.949680	-1.139777	M	2.180063	0.03059	-0.00573	-0.010722	0.030754	0.003705	-0.041762	-2.31315	0.888653	1.239882	1.836799	-0.43762
cell_002185	donor_161	-0.785308	1.735023	-1.325060	0.720823	F	1.633555	0.02053	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-1.135121	1.358558	0.49891	0.874664	-0.647076
cell_002186	donor_161	1.615430	-1.016511	-0.001013	0.720823	F	2.108543	0.04091	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.271562	-1.0534	-0.00524	-0.347888	2.343554
cell_002187	donor_161	-0.490196	-0.343729	0.801357	0.720823	F	2.463739	0.02611	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.54863	-2.152006	-0.001555	0.368171	-0.47396
cell_002188	donor_161	1.499827	1.190525	-0.404856	0.720823	F	2.397117	0.02165	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-1.102759	0.660516	-0.961387	0.575444	-1.045877
cell_002189	donor_161	0.184255	-0.782078	-0.991550	0.720823	F	1.628945	0.03092	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-0.533901	0.95615	0.489174	0.031421	-0.029904
cell_002190	donor_161	-1.146301	-0.437573	0.249606	0.720823	F	0.746464	0.00164	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.090553	-0.791542	-1.516697	0.569173	1.5301
cell_002191	donor_161	-1.911815	-0.046354	1.516025	0.720823	F	2.158154	0.02848	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.604233	0.254172	-1.208524	0.877174	0.481394
cell_002192	donor_161	1.121911	-0.585184	-1.396873	0.720823	F	1.645252	0.04299	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.760147	1.033891	1.586007	-1.114722	-1.288977
cell_002193	donor_161	0.459830	-2.317428	1.110154	0.720823	F	2.248931	0.03276	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.148154	-0.922518	-1.095704	1.220096	-1.009063
cell_002194	donor_161	-0.213587	1.831300	-1.726965	0.720823	F	2.380108	0.04903	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-0.011067	-1.631426	0.063039	1.182818	1.213093
cell_002195	donor_161	0.918146	-0.100509	-0.331051	0.720823	F	2.445453	0.02245	-0.026203	-0.020253	0.018681	0.0161	-0.006008	1.044992	-0.078372	1.111505	0.430081	-0.438946
cell_002196	donor_161	-1.369843	0.595748	0.676137	0.720823	F	2.697896	0.02081	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.381702	0.885674	-1.327718	-1.060417	-0.143613
cell_002197	donor_161	1.785128	1.008050	-0.593895	0.720823	F	2.494543	0.00765	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-1.221758	-1.236029	-0.420587	0.991989	0.973151
cell_002198	donor_161	-1.003863	-1.368491	1.473224	0.720823	F	2.69982	0.02189	-0.026203	-0.020253	0.018681	0.0161	-0.006008	0.32108	0.180281	2.087478	-0.539351	0.241074
cell_002199	donor_161	-0.778174	1.480230	0.525072	0.720823	F	2.551624	0.06932	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-0.588988	-1.287421	1.184881	-0.305205	0.694822
cell_002200	donor_161	0.329903	-0.306868	0.660673	0.720823	F	2.586487	0.03551	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-0.246129	1.246637	-0.997237	1.163913	0.894205
cell_002201	donor_161	-0.015471	-0.369213	0.696005	0.720823	F	1.983653	0.01829	-0.026203	-0.020253	0.018681	0.0161	-0.006008	-1.794638	-0.516858	1.020829	1.637328	0.715496
cell_002202	donor_162	-0.143972	-0.798335	0.599827	0.047055	M	1.484269	0.00988	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.396558	-0.968339	0.566654	-0.426021	-0.383561
cell_002203	donor_162	-0.063986	0.488910	-0.453860	0.047055	M	2.992908	0.00197	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.224157	0.881757	1.806445	1.026879	0.009551
cell_002204	donor_162	-1.209121	1.735074	1.546611	0.047055	M	2.025181	0.01339	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.899194	0.667611	1.665443	1.003538	0.207731
cell_002205	donor_162	0.883785	-0.387811	-0.300318	0.047055	M	2.491483	0.04518	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.489014	0.345172	1.154577	0.232309	-0.103433
cell_002206	donor_162	1.382327	-0.353830	-0.632556	0.047055	M	1.77989	0.02146	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.687245	2.589427	-0.890931	-0.983357	0.164097
cell_002207	donor_162	1.872235	-0.047678	1.768425	0.047055	M	2.385569	0.01084	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.201928	1.023296	1.057112	-1.214296	-0.755564
cell_002208	donor_162	-1.398392	0.518185	2.071083	0.047055	M	1.022015	0.01304	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.875412	0.784527	0.42834	-0.371492	0.216399
cell_002209	donor_162	0.029751	-0.264004	-1.167752	0.047055	M	1.835823	0.04299	-0.01097	0.014328	-0.02259	0.009153	0.00745	-1.126261	-0.742553	-1.30002	0.14549	0.141694
cell_002210	donor_162	1.082343	-0.770128	-0.094809	0.047055	M	1.960636	0.02837	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.984367	0.421209	1.057115	-1.030483	-0.326321
cell_002211	donor_162	-1.234502	1.556895	1.154885	0.047055	M	2.185044	0.01746	-0.01097	0.014328	-0.02259	0.009153	0.00745	0.513621	-0.006368	-1.372038	-0.440789	-0.473979
cell_002212	donor_162	-0.031585	-1.154149	1.535907	0.047055	M	2.42881	0.02383	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.170418	-0.127835	1.566007	-0.208504	-1.718082
cell_002213	donor_162	-0.365932	-1.105205	-1.762118	0.047055	M	1.562343	0.07412	-0.01097	0.014328	-0.02259	0.009153	0.00745	0.091131	1.747751	-0.167116	-0.438087	-0.305124
cell_002214	donor_162	-0.645965	-1.454638	-0.622821	0.047055	M	2.263987	0.05439	-0.01097	0.014328	-0.02259	0.009153	0.00745	0.584145	-0.309375	-1.51561	-0.671777	-0.064691
cell_002215	donor_162	0.744409	-0.375400	0.355693	0.047055	M	2.490667	0.05937	-0.01097	0.014328	-0.02259	0.009153	0.00745	0.535625	-0.582695	-0.296214	0.044926	-0.777423
cell_002216	donor_162	-0.723335	0.065169	1.920901	0.047055	M	2.938365	0.00504	-0.01097	0.014328	-0.02259	0.009153	0.00745	-0.091747	0.467212	-1.186497	0.306456	-1.090307
cell_002217	donor_163	-0.348486	0.384429	-1.565527	0.244811	F	2.282651	0.02698	-0.005492	0.007954	0.002042	0.009948	-0.026682	-1.070291	-0.662796	1.365418	-1.715179	-0.463948
cell_002218	donor_163	1.520106	-0.477207	1.050534	0.244811	F	1.816198	0.0171	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.026451	1.167177	1.947942	-0.422025	0.53936
cell_002219	donor_163	-0.123180	0.611579	0.671012	0.244811	F	1.491294	0.04088	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.094551	-0.100971	0.27327	-1.585464	-0.047884
cell_002220	donor_163	-0.452440	1.091906	-0.758985	0.244811	F	2.731681	0.0512	-0.005492	0.007954	0.002042	0.009948	-0.026682	0.450758	-0.859766	0.457408	-1.728455	0.093567
cell_002221	donor_163	0.777934	-0.390205	0.349558	0.244811	F	2.294937	0.03653	-0.005492	0.007954	0.002042	0.009948	-0.026682	1.342179	-0.21859	-0.978177	-1.425138	0.390524
cell_002222	donor_163	-0.461993	0.049976	-1.074694	0.244811	F	1.99121	0.01255	-0.005492	0.007954	0.002042	0.009948	-0.026682	0.928016	-0.056094	-0.463691	-1.930908	0.124029
cell_002223	donor_163	0.247557	0.044188	-0.540154	0.244811	F	1.352073	0.01678	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.689267	-0.631767	1.616416	-1.801609	-1.667758
cell_002224	donor_163	-0.055028	0.134004	-0.616357	0.244811	F	1.627526	0.04241	-0.005492	0.007954	0.002042	0.009948	-0.026682	0.231326	-0.385311	-0.518801	0.272651	0.255909
cell_002225	donor_163	-0.128759	-1.005552	2.345733	0.244811	F	2.252528	0.0444	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.973637	-0.591698	0.049558	0.167076	0.483254
cell_002226	donor_163	1.059119	0.273094	1.172113	0.244811	F	2.141533	0.03282	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.583164	0.347049	0.950348	0.046859	-0.102828
cell_002227	donor_163	-1.979252	-2.557680	-0.399291	0.244811	F	1.221467	0.0326	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.235543	-0.617387	-0.937979	-0.298138	0.450799
cell_002228	donor_163	-1.378564	-0.236606	0.205657	0.244811	F	2.253045	0.031	-0.005492	0.007954	0.002042	0.009948	-0.026682	-0.889155	-0.0754	-0.191437	1.777806	0.722778
cell_002229	donor_163	0.920414	-1.138264	0.399631	0.244811	F	1.372625	0.03538	-0.005492	0.007954	0.002042	0.009948	-0.026682	0.706564	0.920045	-0.545694	1.376759	0.159172
cell_002230	donor_164	0.014390	0.347509	-0.519772	-0.732356	M	2.541604	0.04432	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.044665	-1.214729	-0.401614	-1.765939	-0.248184
cell_002231	donor_164	1.383135	-0.103509	1.774182	-0.732356	M	2.083422	0.0426	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.576301	-0.398351	-1.385956	0.703603	0.592533
cell_002232	donor_164	-0.790389	0.742827	-0.059668	-0.732356	M	1.814631	0.03047	0.01229	0.020532	0.006419	0.012024	-0.002198	1.689779	1.661468	0.156206	1.023403	0.261306
cell_002233	donor_164	-0.327742	0.632315	-0.299173	-0.732356	M	2.396062	0.02902	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.427353	-0.27812	0.638921	4.087923	1.166874
cell_002234	donor_164	-2.661965	-3.062868	1.272422	-0.732356	M	2.1414	0.02825	0.01229	0.020532	0.006419	0.012024	-0.002198	0.246407	0.483792	0.474868	-0.090289	0.75647
cell_002235	donor_164	1.230258	1.887341	-0.017528	-0.732356	M	2.529971	0.01439	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.155463	-1.011512	0.481662	0.615337	-0.145805
cell_002236	donor_164	-1.292635	-0.419584	0.011425	-0.732356	M	2.03219	0.01414	0.01229	0.020532	0.006419	0.012024	-0.002198	0.309858	0.96089	-0.05181	-0.447004	-0.709316
cell_002237	donor_164	-1.007038	1.648575	2.239503	-0.732356	M	2.055528	0.04088	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.253785	1.534892	-0.198359	0.35945	-0.324478
cell_002238	donor_164	0.478281	-0.010864	-1.294967	-0.732356	M	1.8859	0.01574	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.410231	-0.879302	0.100274	-0.517086	1.273665
cell_002239	donor_164	1.546434	0.076307	-0.289164	-0.732356	M	2.105187	0.04628	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.107502	-0.044531	-0.180182	0.371064	1.49091
cell_002240	donor_164	0.481174	-0.585712	0.146875	-0.732356	M	2.67918	0.02897	0.01229	0.020532	0.006419	0.012024	-0.002198	-1.039776	0.27781	-1.56878	1.223208	-0.108138
cell_002241	donor_164	-1.442467	1.087087	-0.104411	-0.732356	M	1.798894	0.04639	0.01229	0.020532	0.006419	0.012024	-0.002198	-1.494913	-1.275773	0.81389	-1.664632	0.278289
cell_002242	donor_164	1.158801	-0.201136	-0.136200	-0.732356	M	2.259182	0.04274	0.01229	0.020532	0.006419	0.012024	-0.002198	-0.428546	-0.194758	-0.673846	-0.95285	-0.487437
cell_002243	donor_165	-1.212317	0.759757	-0.875840	-0.351777	M	1.647823	0.04686	0.017827	0.001305	-0.022959	0.016404	-0.032683	0.57197	-0.292584	0.421233	-0.24224	0.611245
cell_002244	donor_165	-0.486422	0.001047	0.121224	-0.351777	M	1.173307	0.02047	0.017827	0.001305	-0.022959	0.016404	-0.032683	0.414942	-0.540721	-0.953678	0.955653	-0.813389
cell_002245	donor_165	-1.706097	-0.230806	0.795230	-0.351777	M	2.082983	0.03818	0.017827	0.001305	-0.022959	0.016404	-0.032683	0.500785	0.031093	-0.463063	0.429467	1.367878
cell_002246	donor_165	-0.378338	-0.224732	0.162406	-0.351777	M	2.148162	0.04476	0.017827	0.001305	-0.022959	0.016404	-0.032683	0.625512	0.12929	1.621481	-1.674267	-1.112206
cell_002247	donor_165	-0.125960	-1.030516	-0.036346	-0.351777	M	1.955979	0.00103	0.017827	0.001305	-0.022959	0.016404	-0.032683	-0.46445	1.419323	0.942838	-1.716286	-0.436375
cell_002248	donor_165	0.994073	-1.051176	-0.374482	-0.351777	M	1.401606	0.06403	0.017827	0.001305	-0.022959	0.016404	-0.032683	-1.323827	-0.040451	0.901832	0.975654	0.268009
cell_002249	donor_165	-1.381631	0.941382	-0.092358	-0.351777	M	2.12172	0.07532	0.017827	0.001305	-0.022959	0.016404	-0.032683	-0.42502	-0.0954	0.68328	2.347303	-1.1851
cell_002250	donor_165	-0.850200	0.092266	-1.203600	-0.351777	M	2.106525	0.04895	0.017827	0.001305	-0.022959	0.016404	-0.032683	1.588849	0.244056	0.820253	0.185166	1.404194
cell_002251	donor_165	-1.033496	-1.460134	-1.066779	-0.351777	M	1.644488	0.04612	0.017827	0.001305	-0.022959	0.016404	-0.032683	0.329681	-0.648762	0.450114	1.126775	0.000214
cell_002252	donor_165	1.357338	-0.733118	0.466225	-0.351777	M	1.458603	0.04178	0.017827	0.001305	-0.022959	0.016404	-0.032683	-2.074081	-0.114934	0.09805	-0.044928	-0.495478
cell_002253	donor_165	-0.836301	0.759534	-1.026082	-0.351777	M	1.899045	0.02353	0.017827	0.001305	-0.022959	0.016404	-0.032683	1.323017	-2.372968	0.093977	0.107982	2.094853
cell_002254	donor_165	0.039228	0.052851	2.327805	-0.351777	M	2.261172	0.0278	0.017827	0.001305	-0.022959	0.016404	-0.032683	-0.014435	0.445629	0.125013	0.094428	1.762959
cell_002255	donor_165	0.630425	-0.592904	0.685049	-0.351777	M	2.166662	0.04929	0.017827	0.001305	-0.022959	0.016404	-0.032683	-1.111654	-0.667205	0.754172	0.25684	-0.283229
cell_002256	donor_166	2.138174	-1.629636	-0.842482	-0.00572	M	1.647665	0.01054	0.005656	-0.007684	-0.008963	0.00344	-0.014186	-0.070558	0.913925	0.48509	-0.712963	0.237776
cell_002257	donor_166	-0.236898	-0.417088	-0.332757	-0.00572	M	2.05477	0.00879	0.005656	-0.007684	-0.008963	0.00344	-0.014186	-0.049803	0.470422	-0.321078	-1.208308	0.672371
cell_002258	donor_166	-1.304232	1.403956	-1.422609	-0.00572	M	2.354851	0.02205	0.005656	-0.007684	-0.008963	0.00344	-0.014186	0.548619	1.415299	-1.316229	-0.070382	-0.2304
cell_002259	donor_166	-0.200213	1.045831	-0.030185	-0.00572	M	1.530934	0.04313	0.005656	-0.007684	-0.008963	0.00344	-0.014186	-0.396215	-1.54102	-1.066285	0.270521	-0.499749
cell_002260	donor_166	-0.979394	-1.348676	-0.229999	-0.00572	M	2.025262	0.01268	0.005656	-0.007684	-0.008963	0.00344	-0.014186	-0.82641	1.430396	2.373721	-0.05643	-1.502178
cell_002261	donor_166	-0.757030	0.205231	-1.401451	-0.00572	M	2.535856	0.02549	0.005656	-0.007684	-0.008963	0.00344	-0.014186	0.396404	-2.085371	-1.350168	0.413649	-1.383734
